"time","open","high","low","close","volume"
"2024-05-05T00:00:00.000Z","0.65952","0.66072","0.65812","0.65974","524701.44472342"
"2024-05-04T00:00:00.000Z","0.65961","0.66122","0.65746","0.65944","682354.65103658"
"2024-05-03T00:00:00.000Z","0.65632","0.66190","0.65473","0.65925","1173495.07815255"
"2024-05-02T00:00:00.000Z","0.65079","0.65698","0.64930","0.65520","1202222.54125264"
"2024-05-01T00:00:00.000Z","0.64672","0.65248","0.64558","0.65120","2515526.89121323"
"2024-04-30T00:00:00.000Z","0.65599","0.65614","0.64507","0.64670","2999339.27403878"
"2024-04-29T00:00:00.000Z","0.65291","0.65776","0.65234","0.65598","2795225.74364394"
"2024-04-28T00:00:00.000Z","0.65221","0.65300","0.65065","0.65220","1073948.54067374"
"2024-04-27T00:00:00.000Z","0.65247","0.65286","0.65036","0.65223","598928.49736675"
"2024-04-26T00:00:00.000Z","0.65139","0.65500","0.65019","0.65109","2566114.15314903"
"2024-04-25T00:00:00.000Z","0.64913","0.65300","0.64721","0.65137","1144776.47989770"
"2024-04-24T00:00:00.000Z","0.64831","0.65297","0.64760","0.64909","3015306.51389680"
"2024-04-23T00:00:00.000Z","0.64544","0.64921","0.64307","0.64824","1523980.12559291"
"2024-04-22T00:00:00.000Z","0.64187","0.64600","0.64187","0.64534","1676944.31789382"
"2024-04-21T00:00:00.000Z","0.64078","0.64593","0.64053","0.64217","676551.97211677"
"2024-04-20T00:00:00.000Z","0.64073","0.64196","0.64053","0.64054","772951.75215569"
"2024-04-19T00:00:00.000Z","0.64300","0.64321","0.63632","0.64070","1993915.60463669"
"2024-04-18T00:00:00.000Z","0.64265","0.64527","0.64090","0.64288","1483248.80922964"
"2024-04-17T00:00:00.000Z","0.63905","0.64336","0.63903","0.64271","3403331.55918028"
"2024-04-16T00:00:00.000Z","0.64033","0.64325","0.63798","0.63944","4419043.23178576"
"2024-04-15T00:00:00.000Z","0.64409","0.64793","0.63876","0.64008","3132270.18036731"
"2024-04-14T00:00:00.000Z","0.63271","0.64538","0.62857","0.64464","3166741.50649063"
"2024-04-13T00:00:00.000Z","0.64213","0.64398","0.62532","0.63013","2460675.81341404"
"2024-04-12T00:00:00.000Z","0.65361","0.65523","0.64146","0.64239","2077086.28507618"
"2024-04-11T00:00:00.000Z","0.65024","0.65550","0.65009","0.65386","1077349.57834105"
"2024-04-10T00:00:00.000Z","0.66296","0.66296","0.65000","0.65121","1177271.72838849"
"2024-04-09T00:00:00.000Z","0.66153","0.66422","0.65945","0.66289","859264.76107538"
"2024-04-08T00:00:00.000Z","0.65409","0.66150","0.65282","0.66145","2087347.81566977"
"2024-04-07T00:00:00.000Z","0.65488","0.65567","0.65328","0.65409","770620.73574718"
"2024-04-06T00:00:00.000Z","0.65551","0.65649","0.65382","0.65495","794786.96900567"
"2024-04-05T00:00:00.000Z","0.65744","0.65797","0.65206","0.65551","2503292.41270342"
"2024-04-04T00:00:00.000Z","0.65421","0.66111","0.65334","0.65728","2249492.91486112"
"2024-04-03T00:00:00.000Z","0.64880","0.65486","0.64766","0.65459","2433273.91895906"
"2024-04-02T00:00:00.000Z","0.64840","0.65130","0.64519","0.64885","2667795.27484756"
"2024-04-01T00:00:00.000Z","0.65287","0.65399","0.64742","0.64900","1020559.33114971"
"2024-03-31T00:00:00.000Z","0.65181","0.65354","0.65049","0.65291","486650.88832853"
"2024-03-30T00:00:00.000Z","0.65175","0.65354","0.65114","0.65190","1421493.37721147"
"2024-03-29T00:00:00.000Z","0.65103","0.65269","0.64883","0.65183","1074474.84836076"
"2024-03-28T00:00:00.000Z","0.65152","0.65450","0.64740","0.65086","2187152.55722605"
"2024-03-27T00:00:00.000Z","0.65380","0.65468","0.64988","0.65153","1577199.19505695"
"2024-03-26T00:00:00.000Z","0.65385","0.65596","0.65207","0.65349","1784604.88109689"
"2024-03-25T00:00:00.000Z","0.64876","0.65552","0.64730","0.65427","1536066.80444452"
"2024-03-24T00:00:00.000Z","0.64893","0.65000","0.64725","0.64941","499330.99447755"
