"price","volume","type"
"2.9747","112.1","ask"
"2.975","22","ask"
"2.9751","8.6","ask"
"2.976","44","ask"
"2.977","44","ask"
"2.9776","3.5","ask"
"2.978","44","ask"
"2.9787","0.3","ask"
"2.979","118.3","ask"
"2.98","22","ask"
"2.981","22","ask"
"2.9811","0.9","ask"
"2.982","180.6","ask"
"2.983","22","ask"
"2.9838","5","ask"
"2.984","22","ask"
"2.9841","0.2","ask"
"2.9847","212.8","ask"
"2.985","22","ask"
"2.986","22","ask"
"2.987","22","ask"
"2.9874","1.3","ask"
"2.988","22","ask"
"2.9886","213.3","ask"
"2.99","3","ask"
"2.9935","3.5","ask"
"2.995","0.9","ask"
"2.998","0.2","ask"
"2.9995","11.4","ask"
"3","33","ask"
"3.0023","51.7","ask"
"3.0024","66.2","ask"
"3.003","6.1","ask"
"3.0062","5.3","ask"
"3.0079","19.8","ask"
"3.0087","84.3","ask"
"3.0095","3.5","ask"
"3.0103","5.4","ask"
"3.0124","35","ask"
"3.0179","12.1","ask"
"3.0195","8.5","ask"
"3.02","66.2","ask"
"3.0208","156.6","ask"
"3.0231","17.9","ask"
"3.0233","5","ask"
"3.0241","98.3","ask"
"3.0255","3.5","ask"
"3.0264","3.5","ask"
"3.0299","1980.1","ask"
"3.0344","109.9","ask"
"3.0358","5.4","ask"
"3.0382","8.2","ask"
"3.0403","10.1","ask"
"3.0416","3.5","ask"
"3.0427","15","ask"
"3.0438","11.3","ask"
"3.0449","11.2","ask"
"3.0483","66.2","ask"
"3.05","2333.9","ask"
"3.0524","76.6","ask"
"3.0542","83","ask"
"3.055","1329.9","ask"
"3.0564","72.4","ask"
"3.0578","3.4","ask"
"3.06","12000","ask"
"3.0601","154.5","ask"
"3.0616","5.4","ask"
"3.0634","5","ask"
"3.064","8.2","ask"
"3.0646","8.4","ask"
"3.0649","12.1","ask"
"3.073","36.8","ask"
"3.0741","3.4","ask"
"3.0748","0.1","ask"
"3.0773","10","ask"
"3.0787","5.9","ask"
"3.08","97.4","ask"
"3.0866","34.1","ask"
"3.0875","5.4","ask"
"3.0896","17.5","ask"
"3.0905","3.4","ask"
"3.091","11.1","ask"
"3.0922","3.4","ask"
"3.0954","107.7","ask"
"3.0999","153.7","ask"
"3.1004","81.8","ask"
"3.1005","95.9","ask"
"3.1035","15.2","ask"
"3.104","5","ask"
"3.1048","8.1","ask"
"3.1057","1.2","ask"
"3.1058","0.2","ask"
"3.107","3.4","ask"
"3.1103","8.2","ask"
"3.1125","12.1","ask"
"3.1138","5.4","ask"
"3.1163","9.8","ask"
"3.1234","148.1","ask"
"3.1235","3.4","ask"
"3.1357","70.6","ask"
"3.1378","10.9","ask"
"3.1402","8.7","ask"
"3.1403","150.6","ask"
"3.1423","66.2","ask"
"3.1451","5","ask"
"3.1462","8","ask"
"3.1472","80.5","ask"
"3.15","3851","ask"
"3.1562","5.8","ask"
"3.1567","8.1","ask"
"3.1569","3.3","ask"
"3.1575","122.7","ask"
"3.158","3.3","ask"
"3.1609","12.1","ask"
"3.1626","33.3","ask"
"3.1628","538.7","ask"
"3.163","4676.7","ask"
"3.1633","19.8","ask"
"3.1666","11","ask"
"3.1669","5.4","ask"
"3.1737","3.3","ask"
"3.1788","93.5","ask"
"3.1811","148.7","ask"
"3.1854","10.7","ask"
"3.1868","5","ask"
"3.1873","15","ask"
"3.1882","7.9","ask"
"3.1895","1.7","ask"
"3.1904","66.2","ask"
"3.1906","3.3","ask"
"3.1938","5.4","ask"
"3.1943","9.6","ask"
"3.1948","79.3","ask"
"3.199","3588","ask"
"3.1991","19.8","ask"
"3.2","914.5","ask"
"3.2003","20","ask"
"3.2012","33.1","ask"
"3.2038","8","ask"
"3.2053","0.5","ask"
"3.2077","3.3","ask"
"3.21","12.1","ask"
"3.2149","5","ask"
"3.217","68.8","ask"
"3.2209","108.9","ask"
"3.2213","1.7","ask"
"3.2218","146.8","ask"
"3.2238","3.2","ask"
"3.2248","3.3","ask"
"3.2269","16.7","ask"
"3.2291","5","ask"
"3.2307","7.7","ask"
"3.2336","10.6","ask"
"3.2357","5.7","ask"
"3.2361","48.1","ask"
"3.2374","1.7","ask"
"3.2392","66.2","ask"
"3.2393","48.1","ask"
"3.2406","32.5","ask"
"3.242","3.2","ask"
"3.2425","49.8","ask"
"3.2431","78.2","ask"
"3.2482","5.4","ask"
"3.2516","7.9","ask"
"3.2535","1.7","ask"
"3.259","91.2","ask"
"3.2592","3.2","ask"
"3.2599","12.1","ask"
"3.2631","144.9","ask"
"3.266","0.7","ask"
"3.2697","1.7","ask"
"3.2718","5","ask"
"3.2723","9.2","ask"
"3.2738","7.6","ask"
"3.2741","9.4","ask"
"3.2758","5.4","ask"
"3.2766","3.2","ask"
"3.28","7000.4","ask"
"3.2826","10.4","ask"
"3.2856","101.5","ask"
"3.286","1.7","ask"
"3.2875","60.8","ask"
"3.2887","66.2","ask"
"3.2896","3.2","ask"
"3.29","46.6","ask"
"3.2921","77","ask"
"3.294","3.2","ask"
"3.2945","164.8","ask"
"3.2963","7.6","ask"
"3.2969","44.2","ask"
"3.2978","16.4","ask"
"3.3","7.8","ask"
"3.3006","67.1","ask"
"3.3024","1.7","ask"
"3.3036","5.4","ask"
"3.3049","143.1","ask"
"3.3106","12.1","ask"
"3.3115","3.2","ask"
"3.3152","5","ask"
"3.3172","5.5","ask"
"3.3175","7.5","ask"
"3.3188","1.7","ask"
"3.3204","31.7","ask"
"3.3291","3.2","ask"
"3.33","3031.8","ask"
"3.3317","5.4","ask"
"3.3323","10.3","ask"
"3.3354","1.7","ask"
"3.3389","66.2","ask"
"3.3413","88.9","ask"
"3.3418","75.9","ask"
"3.3469","3.1","ask"
"3.3472","141.3","ask"
"3.3493","7.6","ask"
"3.35","89.5","ask"
"3.3515","99.5","ask"
"3.352","1.7","ask"
"3.3528","15","ask"
"3.3529","453.6","ask"
"3.3554","3.1","ask"
"3.3561","9.1","ask"
"3.3591","5","ask"
"3.36","5.4","ask"
"3.3618","7.4","ask"
"3.362","12.1","ask"
"3.3647","3.1","ask"
"3.3687","1.7","ask"
"3.3704","59.3","ask"
"3.3826","3.1","ask"
"3.3827","10.1","ask"
"3.3855","1.7","ask"
"3.3863","65.4","ask"
"3.3885","5.4","ask"
"3.39","205.7","ask"
"3.3923","74.7","ask"
"3.3973","2.9","ask"
"3.3993","7.5","ask"
"3.4","127.1","ask"
"3.4007","3.1","ask"
"3.4008","5.4","ask"
"3.4012","179.4","ask"
"3.4022","31","ask"
"3.4024","1.7","ask"
"3.4037","5","ask"
"3.4066","7.3","ask"
"3.4071","81.7","ask"
"3.4143","12.1","ask"
"3.4173","5.4","ask"
"3.4188","100.6","ask"
"3.419","29.4","ask"
"3.4193","1.7","ask"
"3.4212","3","ask"
"3.4257","86.8","ask"
"3.4335","137.7","ask"
"3.4339","10","ask"
"3.4363","1.7","ask"
"3.4371","3.1","ask"
"3.4381","4.6","ask"
"3.44","43.9","ask"
"3.4418","66.2","ask"
"3.4437","73.6","ask"
"3.4444","15.7","ask"
"3.445","1000","ask"
"3.4455","42.3","ask"
"3.446","786.4","ask"
"3.4463","5.4","ask"
"3.4488","5","ask"
"3.45","7.4","ask"
"3.4521","7.2","ask"
"3.4535","1.7","ask"
"3.4554","3","ask"
"3.46","206.4","ask"
"3.4661","80.3","ask"
"3.4674","12.1","ask"
"3.4707","1.7","ask"
"3.4738","3","ask"
"3.4742","63.7","ask"
"3.4755","5.4","ask"
"3.4775","136","ask"
"3.48","303","ask"
"3.4859","9.8","ask"
"3.486","30.2","ask"
"3.4865","5.2","ask"
"3.4875","95.6","ask"
"3.488","1.7","ask"
"3.4899","26.4","ask"
"3.49","2363.8","ask"
"3.4924","3","ask"
"3.4936","66.2","ask"
"3.4957","72.5","ask"
"3.4981","7.2","ask"
"3.5","10027.8","ask"
"3.5015","7.3","ask"
"3.505","5.4","ask"
"3.5054","1.7","ask"
"3.51","149.5","ask"
"3.511","3","ask"
"3.5122","84.6","ask"
"3.52","360.4","ask"
"3.5202","15.3","ask"
"3.5213","12.1","ask"
"3.522","134.3","ask"
"3.5224","41.4","ask"
"3.5229","1.7","ask"
"3.5261","87.6","ask"
"3.5298","3","ask"
"3.531","15","ask"
"3.5348","5.4","ask"
"3.5387","9.7","ask"
"3.54","45","ask"
"3.5404","1.7","ask"
"3.5408","5","ask"
"3.5448","7.1","ask"
"3.5461","66.2","ask"
"3.5483","1458.9","ask"
"3.5486","74.4","ask"
"3.55","2455.6","ask"
"3.5528","2.9","ask"
"3.5537","7.2","ask"
