"time","open","high","low","close","volume"
"2022-06-02T00:00:00.000Z","0.5121","0.5121","0.5121","0.5121","0.00000000"
"2022-06-03T00:00:00.000Z","0.5162","0.5162","0.4810","0.4810","440.78787650"
"2022-06-04T00:00:00.000Z","0.5009","0.5043","0.4866","0.5043","402.85976000"
"2022-06-05T00:00:00.000Z","0.4894","0.5127","0.4894","0.5025","1673.86244848"
"2022-06-06T00:00:00.000Z","0.5160","0.5160","0.5087","0.5087","13.32913486"
"2022-06-07T00:00:00.000Z","0.4702","0.5010","0.4666","0.5010","362.32934342"
"2022-06-08T00:00:00.000Z","0.4622","0.4735","0.4531","0.4531","1667.75578000"
"2022-06-09T00:00:00.000Z","0.4570","0.4612","0.4570","0.4612","8.70979414"
"2022-06-10T00:00:00.000Z","0.4536","0.4536","0.4149","0.4210","477.18447535"
"2022-06-11T00:00:00.000Z","0.4316","0.4316","0.3931","0.3975","890.00561628"
"2022-06-12T00:00:00.000Z","0.3558","0.3718","0.3518","0.3519","2505.49336165"
"2022-06-13T00:00:00.000Z","0.3494","0.3504","0.2882","0.3003","7269.76953315"
"2022-06-14T00:00:00.000Z","0.2889","0.3088","0.2712","0.2933","11695.74273716"
"2022-06-15T00:00:00.000Z","0.2914","0.3107","0.2546","0.3107","3980.74922907"
"2022-06-16T00:00:00.000Z","0.3168","0.3168","0.2801","0.2801","1513.00878547"
"2022-06-17T00:00:00.000Z","0.2850","0.3009","0.2850","0.2963","444.66554264"
"2022-06-18T00:00:00.000Z","0.2955","0.2955","0.2542","0.2542","1551.75249493"
"2022-06-19T00:00:00.000Z","0.2729","0.2988","0.2729","0.2988","2817.56182175"
"2022-06-20T00:00:00.000Z","0.2952","0.3004","0.2870","0.2940","843.89078726"
"2022-06-21T00:00:00.000Z","0.3005","0.3096","0.2961","0.2961","3461.63832663"
"2022-06-22T00:00:00.000Z","0.2996","0.3000","0.2872","0.2995","853.28954092"
"2022-06-23T00:00:00.000Z","0.3303","0.4901","0.3303","0.4538","32056.88548806"
"2022-06-24T00:00:00.000Z","0.4540","0.6640","0.4254","0.4574","92590.29626343"
"2022-06-25T00:00:00.000Z","0.4456","0.4885","0.4230","0.4587","8800.19888618"
"2022-06-26T00:00:00.000Z","0.4581","0.4581","0.4230","0.4235","2407.97438258"
"2022-06-27T00:00:00.000Z","0.4225","0.4832","0.4016","0.4144","9046.15415517"
"2022-06-28T00:00:00.000Z","0.4243","0.4709","0.4165","0.4445","5658.78584072"
"2022-06-29T00:00:00.000Z","0.4587","0.5503","0.4456","0.4675","16511.04570645"
"2022-06-30T00:00:00.000Z","0.4579","0.4579","0.4088","0.4243","2660.81673156"
"2022-07-01T00:00:00.000Z","0.4302","0.4374","0.4016","0.4026","2369.92979598"
"2022-07-02T00:00:00.000Z","0.3913","0.3919","0.3745","0.3919","3332.76456770"
"2022-07-03T00:00:00.000Z","0.3870","0.3870","0.3715","0.3824","378.34999138"
"2022-07-04T00:00:00.000Z","0.3715","0.3924","0.3715","0.3924","564.98260329"
"2022-07-05T00:00:00.000Z","0.3906","0.3906","0.3715","0.3844","3971.18357163"
"2022-07-06T00:00:00.000Z","0.3924","0.4615","0.3924","0.4456","6575.27650804"
"2022-07-07T00:00:00.000Z","0.4413","0.4470","0.4110","0.4221","4055.16217907"
"2022-07-08T00:00:00.000Z","0.4354","0.4494","0.4122","0.4243","918.82588856"
